title,year
Roma,2018
The Favourite,2018
Blackkklansman,2018
Vice,2018
Cold War,2018
The Shape of Water,2017
Phantom Thread,2017
Lady Bird,2017
Dunkirk,2017
Get Out,2017
La La Land,2016
Hacksaw Ridge,2016
Moonlight,2016
Manchester by the Sea,2016
Arrival,2016
